email,bought
"I am interested in buying your product",1
"Can you send me the price?",1
"How much does this product cost?",1
"I would like to purchase this product",1
"Can I place an order today?",1
"Please send me the payment details",1
"I am interested in purchasing this",1
"Is this product available?",1
"Can you tell me about the pricing?",1
"I want to order two units",1
"I would like to buy this product",1
"Please tell me how to place an order",1
"Can I purchase this today?",1
"I am ready to buy",1
"What payment options do you accept?",1
"Please send me the checkout link",1
"How can I order this product?",1
"I want to purchase two products",1
"I am interested in buying this",1
"Please provide the price and payment details",1
"Can you tell me the delivery cost?",1
"I would like to know the available packages",1
"Do you have this product in stock?",1
"I want to purchase it",1
"Please send me an invoice",1
"How soon can I place the order?",1
"Can I pay online?",1
"I would like to buy three units",1
"Please send the ordering information",1
"I am ready to place an order",1
"Is there a discount if I buy two?",1
"Can you send me a purchase link?",1
"I want to know the final price",1
"Please tell me how I can buy this",1
"I would like to proceed with the purchase",1
"Can you send the payment link?",1
"I want to order this product",1
"Please provide shipping and pricing details",1
"I am planning to purchase this",1
"Can I get the product details before ordering?",1

"I am not interested in this product",0
"Please stop sending me emails",0
"I don't want this product",0
"Not interested at this time",0
"I am just browsing",0
"I don't need this",0
"Please remove me from your mailing list",0
"I will not purchase this",0
"No thanks",0
"I am not looking to buy",0
"I don't want to buy anything",0
"I have no interest in purchasing",0
"I am not interested in buying",0
"I don't need this product",0
"I don't want to purchase anything",0
"Please do not send me product offers",0
"I am not planning to buy",0
"I won't be buying this",0
"I don't want to place an order",0
"I am only looking, not buying",0
"I don't need the product right now",0
"Please don't contact me again",0
"I am not interested in your offer",0
"I have decided not to buy",0
"I don't want any more information",0
"I am not going to purchase this",0
"Please cancel my request",0
"I don't want to order anything",0
"I am only researching products",0
"I don't plan to purchase",0
"Thanks, but I am not interested",0
"I will pass on this offer",0
"I don't need your product",0
"Please stop the promotional emails",0
"I am not a potential customer",0
"I don't want to receive offers",0
"I am not ready to buy",0
"I have no plans to purchase",0
"I don't want this service",0
"Please remove my email from your list",0
